"id","date_time_ist","workstream","kind","intended_outcome","files_changed","baseline","behaviour_before","behaviour_after","claimed_validation","independently_inspected_evidence","outstanding_work","roadmap_stage","owning_adrs","evidence_paths"
"C12","2026-09-07 18:15-18:16 (12:45:56Z-12:46:05Z)","4","implementation","Offline verifier improvement experiment: proposal/suite contract, baseline-vs-candidate runner, encrypted append-only archive, CLI; exit-code fix for invalid product verify setup","13 runtime files (new: cli/improvement.py, learning/improvement.py, ledger/improvement.py, migrations/0006_improvement.sql, docs/verifier-experiments.md, tests/unit/learning/test_improvement.py; modified cli/main.py, cli/product.py, ledger/session_verification.py, docs, README); patch +927/-30","reports/research/adrl-improvement-experiment-2026-09-07.json (README f56ac99f -> 88ef3a97; 267 unchanged verified)","No mechanism to compare verifiers","Curated experiment: 7 cases x 2 repeats, 28 trials, 98 commands, 30 archive records; baseline 4/7, candidate 7/7","549 tests, 6 checks, 256 fields; archive reopened by CLI; erasure tested on copy; reconstruction without execution","Opened manifest report block (started 12:45:56Z, candidate_correct 7, baseline 4, blockers []), case_matrix, limitations (same assistant authored proposal and fixtures; no holdout). Did not rerun reproduce-verifier-experiment.py","No proposal generation, adoption or RSI; single task family","Pre-W0 (register: W4 increment)","12 owning ADRs per CHANGELOG incl. LRN-001, EVL-008, MEM-003","reports/adrl-improvement-experiment-2026-09-07.md; reports/research/adrl-improvement-experiment-2026-09-07.json; reports/research/adrl-improvement-experiment-2026-09-07.patch; reports/research/adrl-improvement-history-2026-09-07.json; reports/research/reproduce-verifier-experiment.py"
"C13","2026-09-07 between 18:16 and 23:44 (references 549 tests and 280 unchanged runtime hashes; precedes W0 backup)","7","specification","Long-horizon implementation roadmap with 12 waves (W0, W3-W7, W8A/B, W9-W12), wave packet template, experiment template, DQ1-DQ8 decision queue, all 77 ADRs assigned to review waves","reports/adrl-implementation-roadmap-2026-09-07.md (84.5KB); reports/adrl-wave-execution-template.md; reports/adrl-experiment-template.md; reports/research/adrl-roadmap-plan-2026-09-07.json; FND-005, SEM-007, EVL-007, LRN-007 links","280 runtime hashes verified unchanged at planning time","No consolidated roadmap","Roadmap v1 proposed_for_review; implementation_started false; automation_created false","Validation json: 12 waves, dependency graph acyclic, 323 links ok, 77 ADRs have accountable wave, 4 planning ADRs preserved","Opened roadmap headings and plan json (12 wave ids). Opened validation json (planning_only true)","Numeric targets are proposals; DQ1-DQ8 unresolved","Roadmap itself","FND-005, SEM-007, EVL-007, LRN-007","reports/adrl-implementation-roadmap-2026-09-07.md; reports/research/adrl-roadmap-plan-2026-09-07.json; reports/research/adrl-roadmap-validation-2026-09-07.json"
"C14","2026-09-07 23:44 (backup 18:14:38Z); entry 001","9","reporting","User triggers the waves; start journey; create hourly same-task continuation (first create request rejected for missing destination, second succeeded)","reports/adrl-implementation-journey.md (new); reports/research/adrl-execution-state.json (new); execution-state backup dir /Users/arunmenon/projects/.adrl-execution-state/w0-20260907T181438Z","Journey did not exist","No running journal or automation","Journey entry 001; hourly heartbeat 'continue-adrl-implementation-waves' active","W0 manifest failures_and_corrections records the rejected first automation create","Backup directory timestamps on disk show ~hourly cadence 19:17Z, 20:21Z, 21:25Z, 22:20Z, 23:22Z, 00:22Z, 01:20Z, 02:24Z, 03:17Z, 04:02Z, 04:17Z, 05:22Z, consistent with an hourly heartbeat; the automation object itself is not in the snapshot","Automation later paused at 06:29:47Z","W0","FND-005, EVL-007","reports/adrl-implementation-journey.md; reports/research/adrl-execution-state.json"
"C15","2026-09-07 23:44-23:52 (backup 18:14:38Z; baseline checks 18:14:50Z 549 passed; engineering-checks-01 18:19:48Z 556 passed; validation 18:22:45Z)","5","implementation","W0 baseline: verified source backups (278 runtime + 161 register files), repeatable check runner tools/check_all.py, AST-based ADR map parser fix, stale doc reconciliation, 77-ADR maturity inventory","9 runtime files (new: tools/check_all.py, tests/unit/test_engineering_tools.py, docs/engineering-checks.md; modified tools/adr_module_map.py, tools/export_api_contract.py, README, docs/adr-module-map.md, docs/known-gaps.md, docs/protocol-boundary.md); patch +402/-41; reports/waves/w0-baseline.md; research/adrl-maturity-baseline-2026-09-07.json","reports/research/adrl-w0-baseline-2026-09-07.json before-hashes (README 88ef3a97 -> 2c63a528); 272 unchanged compared; on-disk baseline-checks tests.log 549 passed","549 tests; no combined check runner; ADR map regex missed a docstring after a comment; README described working APIs as unimplemented","556 tests; 11 checks; 280 declared inputs hashed before/after; 101 modules cite ADRs, 74/77 mapped (EVL-001, EVL-008, RTG-007 unmapped)","556 tests, 11 checks, no drift; register validation 361 links ok","On disk: w0 baseline-checks tests.log '549 passed', engineering-checks-01 tests.log '556 passed', manifest status passed 280 inputs. Frozen runtime matches 268/280 of W0 hashes (12 later-changed files)","W3 capture not implemented; environment not fully reproducible","W0 complete (local engineering)","FND-005, SEM-007, EVL-007, EVL-009, OPS-001, OPS-003","reports/waves/w0-baseline.md; reports/research/adrl-w0-baseline-2026-09-07.json; reports/research/adrl-w0-baseline-2026-09-07.patch; reports/research/adrl-maturity-baseline-2026-09-07.json"
"C16","2026-09-07 during W0 (packets state 'frozen 7 September before W3 implementation' / 'prepared during W0')","5","prepared-not-executed","Freeze W3 capture/integrity/erasure acceptance cases; prepare W8A Responses state/transport spike packet","reports/waves/w3-task-capture.md; reports/waves/w8a-state-transport-spike.md","n/a","No frozen W3 cases","W3.1 cases frozen; W8A spike packet prepared but never executed in the window","None","Opened both packet heads. No W8A result artifact exists anywhere in the snapshot","W8A spike not run","W3 / W8A","SEM-007, MEM-001/002/003/005/010, SAF-007","reports/waves/w3-task-capture.md; reports/waves/w8a-state-transport-spike.md"
"C17","2026-09-08 00:47-01:09 (backup 19:17:40Z; checks 19:30:44Z; validation 19:39:23Z); entry 003","5","implementation","W3.1 retained encrypted operator captures (migration 0007): bounded workspace capture with stable IDs, idempotent retries, fault handling","10 runtime files (new: ledger/capture.py, migrations/0007_captures.sql, docs/operator-captures.md, tests/unit/test_capture.py; modified README, docs x3, docs/product-services.md, tests/unit/test_product_migration.py); patch +939/-11","W0 source_after (280) and on-disk w3-1 backup manifest","No retained capture; verifier snapshot only at operator time","Capture survives later edits; identical retries return original record; schema 7; 263 inventory fields","593 tests, 11 checks, 284 inputs, no drift; 36 capture + 1 migration cases; lint fixes before combined run","On disk w3-1 checks-01 tests.log '593 passed'; manifest status passed 284 inputs. Frozen runtime matches 273/284","Task-close attribution, verifier/CLI binding, active-copy cleanup","W3.1 closed offline; full W3 open","MEM-001/002/003/005/010, SEM-002/007, SAF-007, TRU-001","reports/adrl-w3-1-operator-captures-2026-09-08.md; reports/research/adrl-w3-1-operator-captures-2026-09-08.json; reports/research/adrl-w3-1-operator-captures-2026-09-08.patch"
"C18","2026-09-08 01:51-02:13 (backup 20:21:47Z; checks 20:36:33Z; validation 20:43:48Z); entry 004","5","implementation","W3.2a encrypted attempt journal (migration 0008): start manifest, reserved attempt/capture IDs, close/cancel/interrupt events, one active attempt per workspace","9 runtime files (new: ledger/attempts.py, migrations/0008_attempts.sql, docs/attempt-lifecycle.md, tests/unit/test_attempts.py; modified README, docs, test_product_migration.py); patch +929/-11","W3.1 source_after (284)","No durable close-request history","Journal records intent; schema 8; 273 fields","631 tests, 11 checks, 288 inputs; 37 + 1 cases; one doc patch rejected atomically for missing context line then reapplied; lint fixes","On disk w3-2a checks-01 '631 passed'; manifest passed 288. Frozen runtime matches 274/288","No process supervision or capture association","W3.2a closed; W3.2 open","MEM-001/002/003/005/010, SEM-002/007, TRU-001, OPS-001","reports/adrl-w3-2a-attempt-journal-2026-09-08.md; reports/waves/w3-2-attempt-lifecycle.md; reports/research/adrl-w3-2a-attempt-journal-2026-09-08.json; reports/research/adrl-w3-2a-attempt-journal-2026-09-08.patch"
"C19","2026-09-08 02:55-03:15 (backup 21:25:26Z; checks 21:38:33Z; validation 21:45:09Z); entry 005","5","implementation","W3.2b1 owned process-group runner with private launcher, watchdog, timeout/stop/cancel/loop-shutdown handling","7 runtime files (new: core/process_anchor.py, core/process_owner.py, docs/process-ownership.md, tests/unit/test_process_owner.py; modified README, docs x2); patch +913/-5","W3.2a source_after (288)","No process ownership","Group-only containment; every report exact_close_eligible=false; detached child survives (observed limit)","669 tests, 11 checks, 292 inputs; 38 cases; focused runs 34 then 38; self-review replaced cancellable cleanup Task with protected executor Future","On disk w3-2b1 checks-01 '669 passed'; manifest sha 305e9d3e matches recorded check_manifest_sha256. Frozen runtime matches 278/292","Not bridged to journal/capture/verifier; Darwin-only","W3.2b1 closed","OPS-001, SAF-007, SEM-006, MEM-003, TRU-001","reports/adrl-w3-2b1-process-ownership-2026-09-08.md; reports/waves/w3-2b-process-ownership.md; reports/research/adrl-w3-2b1-process-ownership-2026-09-08.json; reports/research/adrl-w3-2b1-process-ownership-2026-09-08.patch"
"C20","2026-09-08 03:50-04:07 (backup 22:20:07Z; checks 22:30:36Z; validation 22:37:58Z); entry 006","5","implementation","W3.2b2a reserved terminal capacity v2 for journal attempts (migration 0009); v1 rows retained, new v1 starts refused","9 runtime files (new: migrations/0009_attempt_capacity.sql, tests/unit/test_attempt_capacity.py; modified ledger/attempts.py, README, docs x3, 2 tests); patch +615/-26","W3.2b1 source_after (292)","Journal could fill before recording interruption","One terminal slot + bounded bytes reserved at start; schema 9; 279 fields (+6)","697 tests, 11 checks, 294 inputs; first focused run 62 passed/4 failed (two budgets above intended boundary, two migration fixtures mistook digest for manifest), corrected to 68/0; 3 long SQL strings reformatted","On disk w3-2b2a checks-01 '697 passed'; manifest sha 614be1a7 matches. Manifest focused_first_result {62,4} and focused_final {68,0} read directly. Frozen runtime matches 280/294","Logical quota is not disk; erased pending grants stay charged","W3.2b2a closed","MEM-001/002/005/010, OPS-001","reports/adrl-w3-2b2a-terminal-capacity-2026-09-08.md; reports/waves/w3-2b2a-terminal-capacity.md; reports/research/adrl-w3-2b2a-terminal-capacity-2026-09-08.json; reports/research/adrl-w3-2b2a-terminal-capacity-2026-09-08.patch"
"C21","2026-09-08 04:52-05:11 (backup 23:22:48Z; checks 23:34:03Z; validation 23:41:38Z); entry 007","5","bugfix","W3.2b2b1 persistent key revocation: pre-change probe showed a restored wrapped key readable and a new key creatable after a failed shred audit; add revocation marker, POSIX lock, atomic key writes, unsafe-file rejection","9 runtime files (new: docs/key-revocation.md, tests/unit/test_key_revocation.py; modified api/store.py, ledger/keystore.py, tests/integration/e2e/test_product_services.py, README, docs x3); patch +616/-56","W3.2b2a source_after (294)","Keystore removed wrapped key before audit; audit failure allowed key resurrection (defect)","Marker persisted before mutation; reads/creation honor marker even after restore; no marker removal API","724 tests, 11 checks, 296 inputs; 23 then 80 focused; prechange_probe block records the reproduced defect; lint fixes","On disk w3-2b2b1 checks-01 '724 passed'; manifest sha 73af9339 matches; prechange_probe fields read (key_removed_before_failure true, restored_old_key_readable true). Frozen runtime matches 285/296","Cannot recall cached keys/plaintext; no physical erasure certification; self-reviewed only","W3.2b2b1 closed (split out from b2b)","MEM-001/005/010, OPS-001, TRU-001","reports/adrl-w3-2b2b1-key-revocation-2026-09-08.md; reports/waves/w3-2b2b1-key-revocation.md; reports/research/adrl-w3-2b2b1-key-revocation-2026-09-08.json; reports/research/adrl-w3-2b2b1-key-revocation-2026-09-08.patch"
"C22","2026-09-08 05:52-06:12 (first backup 00:21:59Z rejected/redone 00:22:27Z; checks 00:35:30Z; validation 00:42:55Z); entry 008","5","implementation","W3.2b2b2 attempt coordinator: durable workspace fences (migration 0010), monitor for revocation/expiry, coordinated cleanup; three focused repair cycles","12 runtime files (new: core/attempt_coordinator.py, migrations/0010_execution_fences.sql, docs/attempt-coordination.md, tests/unit/test_attempt_coordinator.py; modified ledger/attempts.py, README, docs x3, 3 tests); patch +895/-12","W3.2b2b1 source_after (296)","No workspace block or coordinated cleanup","Permanent workspace fences with no release path; schema 10; 286 fields","759 tests, 11 checks, 300 inputs; focused runs 27/3, 32/3, 34/1 then 35/0 (stale-report bug, fault fixture setup, child interpreter, authority-loss vs revocation); one console-only diagnostic not retained","On disk w3-2b2b2 checks-01 '759 passed'; manifest sha 4a4a584b matches; extra backup dir w3-2b2b2-20260908T002159Z exists on disk and is not in the handoff backup list. Frozen runtime matches 289/300","Detached writers outside containment; no release API; reports in memory only","W3.2b2b2 closed","OPS-001, MEM-001/002/003/005/010, SAF-007, TRU-001","reports/adrl-w3-2b2b2-process-coordination-2026-09-08.md; reports/waves/w3-2b2b2-process-coordination.md; reports/research/adrl-w3-2b2b2-process-coordination-2026-09-08.json; reports/research/adrl-w3-2b2b2-process-coordination-2026-09-08.patch"
"C23","2026-09-08 06:50-07:10 (backup 01:20:18Z; host capabilities 01:36:06Z; validation 01:40:01Z); entry 009","5","research","W3.2b2c writer-boundary experiment on local Docker: static Go fixture, 4 container + 2 host-file cases; run 1 failed after 3 cases (unsupported docker start flag), run 2 completed 6 observations","reports/research/writer-boundary-2026-09-08/{probe.go,run_probe.py,README.md}; reports/waves/w3-2b2c-writer-boundary.md; no runtime change (759/300 reused)","Runtime unchanged: 300 hashes verified against W3.2b2b2","Unknown whether a stopped ticket, vanished path or dead client stops writers","Findings: namespace init exit / container kill suppresses late write; docker client death leaves container running and child writes; chmod/rename does not revoke open descriptor; recommend optional isolated backend","6 observations; 8 containers + 2 images created and confirmed removed; compiler timeout corrected 60->15s post-run; identical binary recompiled in 2.3s","Manifest research_runs: probe-01 status failed 'container readiness not observed'; probe-02 completed; on disk w3-2b2c dir has probe-01/02 logs and resource-reconciliation.json. Did not rerun Docker","Durable engine/resource ownership; not a security assessment","W3.2b2c research validated","OPS-001, SAF-007, SEM-006, SEM-007, MEM-002/003/010, TRU-001","reports/adrl-w3-2b2c-writer-boundary-2026-09-08.md; reports/waves/w3-2b2c-writer-boundary.md; reports/research/adrl-w3-2b2c-writer-boundary-2026-09-08.json; reports/research/writer-boundary-2026-09-08/"
"C24","2026-09-08 07:54-08:28 (backup 02:24:16Z; checks 02:48:16Z; validation 02:58:05Z); entry 010","5","implementation","W3.2b2d packet then W3.2b2d1 stopped-resource owner: create/bind/inspect/non-force-remove of a stopped container with durable identity binding (migration 0011); 4 opt-in engine cases","15 runtime files (new: core/container_control.py, core/resource_owner.py, migrations/0011_resource_ownership.sql, docs/stopped-resource-ownership.md, tests/integration/test_resource_engine.py, tests/unit/test_resource_owner.py; modified README, docs x3, 4 tests, tools/check_data_inventory.py); patch +1589/-13 (after/ tree format); reports/waves/w3-2b2d-resource-ownership.md, w3-2b2d1-stopped-resource-ownership.md","W3.2b2c/W3.2b2b2 source_after (300)","No daemon resource ownership","Stopped-only owner with create claim before daemon call; schema 11; 325 fields; 8 fixture containers + 1 image created and removed; none started","812 tests, 11 checks, 306 inputs; focused 42/0, 49/0 (+4 skipped engine), local engine 4/0; behaviour_repair_cycles 0; self-review added admission recheck and bounded HTTP handling","On disk w3-2b2d1 checks-01 '812 passed'; manifest sha 9f952ab6 matches. Frozen runtime matches 293/306","No start/exec/kill; revocation/create not atomic","W3.2b2d1 closed","OPS-001, MEM-001/002/005/010, SAF-007, TRU-001","reports/adrl-w3-2b2d1-stopped-resource-ownership-2026-09-08.md; reports/waves/w3-2b2d1-stopped-resource-ownership.md; reports/research/adrl-w3-2b2d1-stopped-resource-ownership-2026-09-08.json; reports/research/adrl-w3-2b2d1-stopped-resource-ownership-2026-09-08.patch"
