id,title,bucket,baseline_status,baseline_maturity,current_status,current_maturity,two_day_changes,runtime_refs,scope_actually_supported,assessed_maturity,assessment_vs_recorded,limitations,next_promotion_gate,product_milestone,traceability_check
ADRL-EVL-002,"Holdout and calibration protocol: temporal, session-grouped, tier-1 only",EVL,"Proposed 2026-09-03 (first capture) [7 Sept baseline; 2 Sept commit: not committed (file created 2026-09-03, untracked)]","D1 Code; adrl-core `learning/dataset.py` implements temporal session-grouped splits and rejects random K-fold, and `learning/abstention.py` measures calibration on a time-ordered holdout; no protocol document or scorecard exists",Proposed 2026-09-03 (first capture),"D1 Code; adrl-core `learning/dataset.py` implements temporal session-grouped splits and rejects random K-fold, and `learning/abstention.py` measures calibration on a time-ordered holdout; no protocol document or scorecard exists",none,modules: adrl/learning/dataset.py | tests citing id: none (covered indirectly),"Temporal session-grouped splits rejecting random K-fold and time-ordered calibration holdout, tested.",D2 for the split code,recorded-lower (field D1 while unit tests exist),No protocol document or scorecard.,Protocol document and first scorecard use.,P5; W9 (baseline review wave W4),ok
ADRL-EVL-003,Branch protocol and replay prohibition,EVL,"Proposed 2026-09-03 (first capture) [7 Sept baseline; 2 Sept commit: not committed (file created 2026-09-03, untracked)]","D0 Design; adrl-core has a branched-pair contract and a subprocess branch runner (LRN-002), but no branch has been executed on organic traffic",Proposed 2026-09-03 (first capture),"D0 Design; adrl-core has a branched-pair contract and a subprocess branch runner (LRN-002), but no branch has been executed on organic traffic",none,modules: adrl/learning/pairs.py | tests citing id: none (covered indirectly),Pair contract rejects non-branch pairs (PairContractError); no branch executed on organic traffic.,D2 for the contract check; D0 for the protocol in use,recorded-lower for the contract check,No organic branches.,First organic branch under the protocol.,P5; W9 (baseline review wave W7),ok
ADRL-EVL-004,Label quantity and quality gate for retrieval and learned authority,EVL,"Proposed 2026-09-03 (first capture; referenced by MEM-002, MEM-004, MEM-008, LRN-001 since 2026-08-27) [7 Sept baseline; 2 Sept commit: not committed (file created 2026-09-03, untracked)]",D1 Code; adrl-core `ledger/readiness.py` counts only `task_capability` at `closed_final` and reports diversity and excluded fractions; the threshold itself has not been pre-registered,"Proposed 2026-09-03 (first capture; referenced by MEM-002, MEM-004, MEM-008, LRN-001 since 2026-08-27)",D1 Code; adrl-core `ledger/readiness.py` counts only `task_capability` at `closed_final` and reports diversity and excluded fractions; the threshold itself has not been pre-registered,none,"modules: adrl/learning/readiness.py, adrl/ledger/readiness.py | tests citing id: none (covered indirectly)","Readiness counts only task_capability at closed_final with diversity and excluded fractions, tested.",D2 for the counting rules,recorded-lower (field D1),Threshold not pre-registered; representativeness condition absent.,Pre-registered threshold and representativeness condition.,P3 / P5; W9 (baseline review wave W4),ok
ADRL-EVL-005,Simulator and benchmark evidence is not organic evidence,EVL,"Proposed 2026-09-03 (first capture; referenced by the overview, LRN-001, MEM-009 since 2026-08-27) [7 Sept baseline; 2 Sept commit: not committed (file created 2026-09-03, untracked)]",D1 Code; adrl-core `learning/tiers.py` assigns simulator and benchmark examples to tier T4 and refuses to pool them with organic tiers; no scorecard separates them yet,"Proposed 2026-09-03 (first capture; referenced by the overview, LRN-001, MEM-009 since 2026-08-27)",D1 Code; adrl-core `learning/tiers.py` assigns simulator and benchmark examples to tier T4 and refuses to pool them with organic tiers; no scorecard separates them yet,08 Sept sections: Experiment-lab planning note; Lab A.1 implementation evidence | 07 Sept sections: Offline verifier improvement implementation | changelog rows dated 07/08: 1/1 | decision text unchanged | Experiment-lab planning note (2026-09-08) added without a changelog row.,"modules: adrl/learning/improvement.py, adrl/learning/tiers.py | tests citing id: tests/unit/test_routing_lab.py","Tier T4 separation of synthetic evidence; curated verifier variants tagged curated_synthetic and ineligible; Lab A.1 workbench (7 runner tests) labels every export as simulation, T4 and ineligible, with all 16 planned cells in the denominator.",D2 for separation and lab export labelling,recorded-lower (field D1 says no scorecard separates synthetic evidence; the 2026-09-08 lab report and export do),No golden test that an organic readiness count rejects source=synthetic rows.,Field update; golden test for synthetic contamination of organic counts; scorecard section.,P1 (lab) / P2; Lab A (baseline review wave W4),INDEX row omits Lab A.1; the 2026-09-08 experiment-lab planning note lacks a changelog row.
ADRL-EVL-006,"Offline evaluation against baselines, branched or propensity-weighted",EVL,"Proposed 2026-09-03 (first capture; referenced by LRN-003, LRN-007, LRN-008 since 2026-08-27) [7 Sept baseline; 2 Sept commit: not committed (file created 2026-09-03, untracked)]","D0 Design; adrl-core has an `adrl learning evaluate` command that runs the estimators T1-only, but no evaluation report has been produced against a baseline version","Proposed 2026-09-03 (first capture; referenced by LRN-003, LRN-007, LRN-008 since 2026-08-27)","D0 Design; adrl-core has an `adrl learning evaluate` command that runs the estimators T1-only, but no evaluation report has been produced against a baseline version",07 Sept sections: Offline verifier improvement implementation | changelog rows dated 07/08: 1/0 | decision text unchanged,"modules: adrl/cli/improvement.py, adrl/learning/artifacts.py, adrl/learning/improvement.py | tests citing id: tests/unit/learning/test_improvement.py","Versioned verifier-proposal comparison with blockers, repeats and per-case regression checks, run once on seven curated variants (4/7 versus 7/7) with encrypted archive; no routing-policy evaluation report.",D2 for the offline comparison machinery as exercised; D0 for a routing evaluation report,recorded-lower for the machinery (field says no evaluation report has been produced; the 2026-09-07 verifier comparison is one),Same author for candidate and fixtures; one task family; not a routing evaluation.,EVL-006 report for a routing policy against EVL-001 baselines with independent expectations.,P2 / P5; W7/W9 (baseline review wave W4),ok
ADRL-EVL-007,Explicit human graduation and the D2 to D5 ladder,EVL,"Proposed 2026-09-03 (first capture; referenced by LRN-005, LRN-007, LRN-008 since 2026-08-27) [7 Sept baseline; 2 Sept commit: not committed (file created 2026-09-03, untracked)]",D1 Code; adrl-core `learning/artifacts.py` refuses any artifact without a signed graduation record and checks policy compatibility; no graduation has ever been performed and the signing key in use is a development key (OPS-002),"Proposed 2026-09-03 (first capture; referenced by LRN-005, LRN-007, LRN-008 since 2026-08-27)",D1 Code; adrl-core `learning/artifacts.py` refuses any artifact without a signed graduation record and checks policy compatibility; no graduation has ever been performed and the signing key in use is a development key (OPS-002),07 Sept sections: Forward implementation plan; W0 execution baseline | changelog rows dated 07/08: 2/0 | decision text unchanged,modules: adrl/learning/artifacts.py | tests citing id: none (covered indirectly),artifacts.py refuses unsigned artifacts and checks policy compatibility (tested); the ladder process has never been exercised and the INDEX preamble records non-transfer of historical levels.,D2 for artifact refusal; ladder process unexercised (D0 as a process),recorded-lower for the mechanics; agree for the process,Dev-key refusal golden test not evidenced; DQ4 undisposed; independent reviewers unassigned.,First minuted graduation meeting; DQ4 disposition; dev-key refusal test.,Every graduation (P2 onward); W0 (baseline review wave W0),ok
ADRL-EVL-008,"Scorecard format: every number with its denominator, window and exclusions",EVL,"Proposed 2026-09-03 (first capture) [7 Sept baseline; 2 Sept commit: not committed (file created 2026-09-03, untracked)]",D0 Design; the old repository published `reports/learning-readiness.md`; adrl-core produces a readiness report object but no scorecard document,Proposed 2026-09-03 (first capture),D0 Design; the old repository published `reports/learning-readiness.md`; adrl-core produces a readiness report object but no scorecard document,07 Sept sections: Live observation pilot; Session verification implementation; Offline verifier improvement implementation | changelog rows dated 07/08: 3/0 | decision text unchanged,none (intentionally unmapped),"No scorecard document; reports state denominators (7 variants, 28 trials, 98 commands, 30 records) but no scorecard artifact exists.",D0,agree,Readiness report object only.,"Scorecard document with denominators, windows and exclusions.",P2; W7 (baseline review wave W3),ok
ADRL-EVL-009,Blockers are never averaged away,EVL,"Proposed 2026-09-03 (first capture; referenced by the overview, MEM-006, MEM-010, LRN-006 since 2026-08-27) [7 Sept baseline; 2 Sept commit: not committed (file created 2026-09-03, untracked)]",D1 Code; adrl-core `learning/readiness.py` and `ledger/readiness.py` list blockers by name and never fold them into a score; the blocker list itself is not yet pre-registered,"Proposed 2026-09-03 (first capture; referenced by the overview, MEM-006, MEM-010, LRN-006 since 2026-08-27)",D1 Code; adrl-core `learning/readiness.py` and `ledger/readiness.py` list blockers by name and never fold them into a score; the blocker list itself is not yet pre-registered,07 Sept sections: Offline verifier improvement implementation; W0 execution baseline | changelog rows dated 07/08: 2/0 | decision text unchanged,"modules: adrl/learning/improvement.py, adrl/learning/readiness.py, adrl/ledger/readiness.py | tests citing id: none (covered indirectly)","Readiness and improvement comparisons list blockers by name (drift, flaky repeats, unavailable execution, per-case regression) and never average them; tested.",D2 for blocker listing,recorded-lower (field D1),Blocker list not pre-registered or versioned.,Pre-registered versioned blocker list.,Every milestone; W0 (baseline review wave W0),ok
ADRL-FND-001,"Transparent control layer, protocol-scoped",FND,"Accepted · amended 2026-09-02 · product boundary clarified 2026-09-07 [7 Sept baseline; 2 Sept commit: status differs, same maturity]","D3 Shadow, review recommends D3 Shadow for the Anthropic-Messages path only; the Codex CLI (Responses API) path has no evidence and should carry D0",Accepted · amended 2026-09-02 · product boundary clarified 2026-09-07,"D3 Shadow, review recommends D3 Shadow for the Anthropic-Messages path only; the Codex CLI (Responses API) path has no evidence and should carry D0",07 Sept sections: Product service evidence; Earlier foundation implementation | changelog rows dated 07/08: 2/0 | decision text changed (clause 5 added 07 Sept) | Decision clause 5 (product boundary) added 2026-09-07; status field changed to 'product boundary clarified 2026-09-07'.,"modules: adrl/api/schema.py, adrl/app.py, adrl/proxy/asgi.py, adrl/proxy/observe_only.py, adrl/proxy/pipeline.py, adrl/proxy/upstream.py, adrl/wire/observe.py, adrl/wire/parse.py, adrl/wire/profiles/base.py, adrl/wire/profiles/messages.py, adrl/wire/rewrite.py | tests citing id: tests/integration/proxy/test_removal.py, tests/integration/proxy/test_routing_paths.py, tests/unit/wire/test_rewrite.py","Messages passthrough proxy: byte-exact frontier relay, non-Claude rewrite, profile/adapter extraction and local product API preview 4, all on fixtures plus one loopback smoke check; observation-only pilot did not route traffic.",D2 (Messages boundary and local API); D0 for the Codex/Responses path,recorded-higher (historical D3 is not transferable to adrl-core per EVL-007; INDEX scoped D2 agrees with this assessment),No live gateway dispatch; product API preview only; clause 5 product boundary added 2026-09-07 without a new test of the multi-harness contract; second harness absent.,D3 requires organic Claude Code traffic through the proxy in shadow for a declared window with excluded fractions reported and no EVL-009 blocker; the two-harness/two-protocol gate (FND-005) governs a stable interface.,P1 (first profile) / P4 (stable interface); W3/W5 (baseline review wave W5),INDEX maturity column carries a scoped statement (Historical D3; Messages D2) that the file's Maturity field does not; W0 baseline captured the unscoped field.
ADRL-FND-002,"Semantic policy vs mechanical execution, rung-closed",FND,"Accepted · amended 2026-09-02 · amended 2026-09-03 (proposed amendment, pending disposition) [7 Sept baseline; 2 Sept commit: status differs, same maturity]","D2 Tested, review recommends D2 Tested (the split is implemented; the rung-closed fallback contract with the gateway is not yet tested and must be before D3)","Accepted · amended 2026-09-02 · amended 2026-09-03 (proposed amendment, pending disposition)","D2 Tested, review recommends D2 Tested (the split is implemented; the rung-closed fallback contract with the gateway is not yet tested and must be before D3)",08 Sept sections: W7.0a scoped application and evidence | changelog rows dated 07/08: 0/1 | decision text unchanged,"modules: adrl/app.py, adrl/config/checks.py, adrl/config/loaders.py, adrl/config/models.py, adrl/core/ports.py, adrl/gates/deployments.py, adrl/proxy/stages.py, adrl/wire/rewrite.py | tests citing id: tests/adversarial/test_tru_suite.py, tests/integration/e2e/test_composed_system.py","Config checks refuse non-loopback local deployments and cross-rung fallback groups; composition root refuses exploration when learning-contract feature version differs from live features (features-v2 guard, tested in test_mixed_intent).",D2 (configuration closure and composition guard),agree,The gateway-side fallback contract (LiteLLM context_window_fallbacks) is untested against a real gateway; 2026-09-03 deployment-set amendment still pending disposition.,Fault test against a real LiteLLM configuration proving a pinned local overflow is never served by cloud; then organic shadow for D3.,P1 / P4; W6 (baseline review wave W5),INDEX row omits the 2026-09-08 W7.0a application recorded in the file.
ADRL-FND-003,Routing boundary is the user turn,FND,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D3 Shadow, review recommends D3 Shadow (cache-hit evidence on real traffic supports it; the warm-up-request and subagent edge cases need golden tests before D4)",Accepted · amended 2026-09-02,"D3 Shadow, review recommends D3 Shadow (cache-hit evidence on real traffic supports it; the warm-up-request and subagent edge cases need golden tests before D4)",none,"modules: adrl/proxy/pipeline.py, adrl/wire/classify.py | tests citing id: tests/integration/proxy/test_routing_paths.py",Mechanical user-turn classification and per-request gating on fixtures.,D2,recorded-higher (historical D3 shadow evidence belongs to the old repository),No organic traffic through adrl-core routing; pre-warm and subagent edge cases covered only by fixtures.,Organic shadow window with cache-hit measurement reproduced on adrl-core.,P1; W7 (baseline review wave W8A),ok
ADRL-FND-004,"Fail to last-known-safe, not fail-open",FND,"Superseded 2026-09-02 (see replacement) [7 Sept baseline; 2 Sept commit: same status, same maturity]","D4 Pilot, review recommends D3 Shadow — no decision in the register affects live execution for any population (""live adaptive routing intentionally blocked""), so nothing can be D4; and the failure-injection matrix has not been run against real traffic",Superseded 2026-09-02 (see replacement),"D4 Pilot, review recommends D3 Shadow — no decision in the register affects live execution for any population (""live adaptive routing intentionally blocked""), so nothing can be D4; and the failure-injection matrix has not been run against real traffic",none,"modules: adrl/gates/pipeline.py, adrl/proxy/fallback.py, adrl/proxy/pipeline.py, adrl/telemetry/metrics.py | tests citing id: tests/integration/proxy/test_fault_matrix.py, tests/unit/proxy/test_fallback.py",Fail-open for unpinned and fail-closed for pinned sessions under an injected failure matrix; bypass audited.,D2,recorded-higher (claimed D4; review recommended D3; adrl-core has fault tests only),Failure injection is synthetic; no real-traffic failure classes observed; OPS-008 thresholds absent.,Organic shadow with per-class fail-open counts and excluded fractions; then OPS-007 rollback exercised for D4.,P1 / P2; W6 (baseline review wave W6),ok
ADRL-FND-005,Scope expands only through measured gates,FND,"Accepted · unchanged [7 Sept baseline; 2 Sept commit: same status, same maturity]","D3 Shadow, review recommends D3 Shadow with a note: the D-scale measures runtime behaviour and fits a governance commitment poorly; the honest reading is ""the readiness tooling runs against shadow data and its verdicts have so far been respected""",Accepted · unchanged,"D3 Shadow, review recommends D3 Shadow with a note: the D-scale measures runtime behaviour and fits a governance commitment poorly; the honest reading is ""the readiness tooling runs against shadow data and its verdicts have so far been respected""",07 Sept sections: Product service evidence; Earlier subscription pilot plan; Live observation pilot; Session verification implementation; Offline verifier improvement implementation; Forward implementation plan; W0 execution baseline | changelog rows dated 07/08: 8/0 | decision text unchanged,"modules: adrl/learning/readiness.py, adrl/ledger/readiness.py | tests citing id: tests/unit/test_engineering_tools.py","Readiness tooling (learning/readiness, ledger/readiness) and the eleven-check local runner report blockers and excluded fractions; the release-gate application (two harnesses, two protocols) is stated and unmet.",D2 for readiness tooling and check runner; the governance rule itself is not gradable on the D scale (as the field concedes),recorded-higher for the historical D3; consistent with the INDEX scoped statement,No hosted CI; independent reviewers unassigned; DQ4 (graduation ladder for non-routing features) undisposed.,Two qualified harnesses and two protocols for the stable interface; readiness verdicts exercised on organic shadow data for D3.,P4 (stable interface); every graduation; W0/W5 (baseline review wave W0),INDEX maturity column carries a scoped statement the file's Maturity field lacks.
ADRL-LRN-001,"Evidence tiers, not ""outrank""",LRN,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D1 Code — `learning_contract.py` encodes the preference and is unit-tested, but with one strongly-verified task the tier-1 set is a single task, so the contract has never been exercised on a real training set",Accepted · amended 2026-09-02,"D2 Tested, review recommends D1 Code — `learning_contract.py` encodes the preference and is unit-tested, but with one strongly-verified task the tier-1 set is a single task, so the contract has never been exercised on a real training set",07 Sept sections: Session verification implementation | changelog rows dated 07/08: 1/0 | decision text unchanged,"modules: adrl/learning/artifacts.py, adrl/learning/dataset.py, adrl/learning/estimator.py, adrl/learning/pairs.py, adrl/learning/readiness.py, adrl/learning/tiers.py, adrl/ledger/counterfactual.py, adrl/ledger/labels.py, adrl/ledger/session_verification.py | tests citing id: tests/unit/learning/test_tiers.py",Evidence tiers and pooling rules with pilot receipts excluded from labels; tested on fixtures only.,D2 for the tier contract,"agree with the claimed D2; the review's D1 note concerns the absence of a real training set, which persists",No organic T1 corpus; roadmap DQ on T1 versus T5 admission undisposed.,EVL-004 threshold met on organic T1 labels.,P5; W9 (baseline review wave W4),ok
ADRL-LRN-002,"Branched pairs, plus a logged-exploration channel",LRN,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D2 Tested for the pairing contract in `counterfactual.py`; the evidence it is meant to produce is effectively D0 (usable pair volume ""very low""; no power target)",Accepted · amended 2026-09-02,"D2 Tested, review recommends D2 Tested for the pairing contract in `counterfactual.py`; the evidence it is meant to produce is effectively D0 (usable pair volume ""very low""; no power target)",none,"modules: adrl/learning/explore.py, adrl/learning/pairs.py, adrl/learning/readiness.py, adrl/learning/tiers.py | tests citing id: tests/unit/learning/test_pairs.py","Branched-pair contract with power budget, tested; no pair executed.",D2 for the contract; D0 for evidence,agree,Zero organic pairs.,First live branched pairs from the same turn state.,P5; W9 (baseline review wave W7),ok
ADRL-LRN-003,"The target is a CATE, name it",LRN,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D0 Design, review recommends D0 Design — nothing is built and the amended text does not change that",Accepted · amended 2026-09-02,"D0 Design, review recommends D0 Design — nothing is built and the amended text does not change that",08 Sept sections: Current implementation evidence: routing diagnostic | changelog rows dated 07/08: 0/1 | decision text unchanged,modules: adrl/learning/estimator.py | tests citing id: tests/unit/learning/test_estimator.py,"Offline CATE estimator family (S/T/X learners, bootstrap, pairwise preference baseline, forbidden-target check) tested on synthetic data; the live Router uses the band heuristic.",D2 for the offline estimator machinery; D0 for the decision's use in routing,recorded-lower (field says 'nothing is built'; the 2026-09-08 section itself states the estimator machinery exists),Unwired; no real pairs; band size and savings ceiling unpublished.,RTG-007 pre-build gate; field updated to describe the offline machinery.,P5; W9 (baseline review wave W9),INDEX row omits the 2026-09-08 diagnostic section; field text contradicts the body.
