"id","kind","definition","exit_gate_as_defined","state_claimed","evidence_paths","state_assessed","assessment_basis","unmet_gate_items","dependencies","sequencing_correction"
"W3","wave","Tie verification to the exact completed task: separate attempts from sessions; capture initial/terminal manifests; explicit close handshake that quiesces tracked writes; retained immutable snapshot verified on that snapshot; typed lifecycle states; bounded storage and erasure.","'original output A still verifies as A after the working tree becomes B; edits during capture are rejected or marked indeterminate; two tasks in one session stay distinct; duplicate/out-of-order close events, disconnect, restart, cancelled checks, missing files and erasure are accounted for. A real Claude task demonstrates the lifecycle under the named trusted local boundary.'","Open and deferred: 'W3.2b2e ... unfinished; resume for qualified exact-output evidence'. Nine sub-slices 'validated'. Engineering range in plan: 1-2 weeks.","register/reports/research/adrl-w3-1-operator-captures-2026-09-08.json through adrl-w3-transport-receipts-2026-09-08.json (nine records); register/reports/waves/w3-task-capture.md; register/reports/waves/w3-active-copy-custody.md","offline-tested","Sub-slices W3.1 through W3.2b2d2 have unit/integration coverage on synthetic fixtures (593 to 895 tests). Frozen acceptance cases 'Retain A, change workspace to B' and duplicate/erasure cases pass. Cases requiring the close supervisor, verifier binding (W3.3) and the 'Native Claude observation task' are not evidenced. No real task payload has ever been captured.","W3.2b2e active-copy custody; B3 safe extraction and exact-close/capture association; W3.3 verifier binding, timeline/CLI, real Claude task demonstration; plaintext lease erasure; container/output storage lifecycle; real-harness image/network/credential/retention profile.","W0.","The roadmap's W3 was a capture-and-close contract; execution turned it into an isolated Docker execution backend (b1 process runner through d2 launch/transport), which the W3 contract never required and W3.2b2c itself calls 'a candidate, not a mandatory Docker dependency'. Finish W3 by binding the existing W3.1 capture to a manually quiesced real Claude task (W3.3) and move container work to W6/SAF-007."
"W4","wave","Establish whether the verifier and outcomes deserve trust: task catalog across narrow fixes/tests/refactors in two repositories; development, selection and fresh confirmation partitions; human-written expectations before candidate execution; 30 diagnostic code states, 3 families, 2 repositories; 20 organic tasks.","'raw counts and error types by task family and repository; independently reviewed disagreements; calibrated failure/indeterminate semantics; a fresh comparison of the proposed eleven-test verifier; an evidence-eligibility proposal with validation cases.'","Proposed; 'existing_wave_4_increment: Curated offline verifier comparison implemented; broad W4 remains proposed'.","register/reports/adrl-improvement-experiment-2026-09-07.md; register/reports/research/adrl-improvement-experiment-2026-09-07.json","planned","Early increment exists: 7 curated variants of one task, 28 trials, candidate 7/7 vs baseline 4/7, same author wrote candidate and cases, result labelled 'candidate_supported' review-only. That is a mechanism exercise, not the W4 corpus. No fresh cases, no independent reviewer, no second repository.","All exit items; DQ1 disposition; isolation suitable for a protected holdout (Seatbelt 'does not provide that boundary').","W3 attribution; approved repositories; independent reviewer.","W4 corpus preparation is 'independent work' the plan says an evidence reviewer can start while W3 completes; nobody started it. Start it now: it is the cheapest way to convert the pilot into P2 readiness."
"W5","wave","Prove OpenCode reuse: connection/configuration adapter, session mapping, event translation, same snapshot/verifier contract; conformance runner; simultaneous Claude and OpenCode sessions; setup time vs 15 minutes.","'real tasks from both harnesses appear through one schema and service; the shared conformance suite passes; outbox replay yields identical acknowledgements; setup time and manual assistance are recorded against the 15-minute target.'","Proposed. Scheduling amendment: no longer a blanket prerequisite for the first one-harness W7 comparison.","register/reports/adrl-implementation-roadmap-2026-09-07.md#w5; register/reports/research/adrl-roadmap-plan-2026-09-07.json (W7 depends_on still lists W5)","planned","No adapter code; W0 support matrix: 'No registered adapter or compatibility result'. The plan JSON was not updated after the prose amendment and still records W7 as depending on W5.","All.","W3 contract; named OpenCode version and credential path.","Defer behind P2; update the tracker JSON so the dependency graph matches the amended prose."
"W6","wave","Make control and recovery dependable on Messages: dedicated controlled listener rejecting missing identity/unclassified paths; continuity/custody tests with synthetic secrets, compaction, restart, child return; dispatch/ops validation of streaming, cancellation, gateway retries, intended vs reported deployment; Claude-only gateway compatibility spike.","'the negative-path matrix passes on named real integrations and controlled fixtures, with zero observed forbidden dispatches or duplicated external effects; each injected fault has an expected record and recovery result.'","Proposed. Offline hardening 'can begin early'.","register/reports/adrl-implementation-roadmap-2026-09-07.md#w6; register/reports/waves/w0-baseline.md (DQ3 blockers: legacy path reachable when session signals removed; unknown health retained)","planned","No W6 slice has been executed. The W0 blocker table records that removing every session signal still reaches the legacy forwarding path and that unknown gateway health keeps a rung eligible; both remain open. Lab A.1's 'missing-identity' cell responded (run-2 results.json) rather than being rejected, consistent with the open DQ3 gap.","All three slices; DQ3 disposition; named real destination and budget for live execution; gateway compatibility spike.","W0 (offline fixes); W4/W5 for live matrix; user disposition of DQ3.","The controlled-listener fix (slice 1) is a small, purely offline change that P1's 'restriction rechecks' exit needs; it should have preceded the container backend. Bring W6 slice 1 forward; leave slices 2-3 behind P2's budget decision."
"W7","wave","Find which routing choices are worth making: repeatable branch runner from same initial state; fixed strong, fixed local, current heuristic, deployable best-single-cloud comparator; freeze versions; 30-task batch (90 executions) to debug, then confirmation set; one hypothesis per packet.","'actual comparative trajectories, a versioned baseline report, fresh confirmation with uncertainty, exclusion/suppression fractions and a disposition for each tested hypothesis ... A complete EVL-006 report, relevant graduation decision and tested rollback are required before expanding live routing authority.'","Execution state: active_wave W7, active_slice W7.0a 'validated_offline_routing_correction'; W7.0 diagnostic 'offline_diagnostic_complete_with_findings'.","register/reports/research/routing-demonstration-2026-09-08/results.json; register/reports/research/routing-correction-2026-09-08/validation.json; register/reports/adrl-routing-in-action-2026-09-08.md","offline-tested","Only W7.0 (synthetic decision matrix) and W7.0a (lexical feature fix) exist; both zero model calls. No branch runner with a harness wrapper, no executed alternative, no cost or quality measurement. The wave's contract exit is entirely unmet.","Branch runner harness binding; matched executions; frozen model/price/verifier versions; DQ1-DQ3; budget; confirmation set; EVL-006 report.","Relevant W3/W4/W6 for one harness; funded execution inputs; user budget approval.","The 'W7.0 before W3 completion' amendment was right. The next W7 packet should be a 5-task, two-arm (fixed Sonnet vs heuristic) real comparison on one owned repository under the existing subscription, using operator capture (W3.1) and manual verification, to test the measurement pipeline before any more infrastructure."
"W8A","wave","Admit Codex and Responses: scrubbed real CLI corpus; native item/tool IDs, reasoning/compaction custody, cancellation, resume, transport; up to five-day spike during W0 with go/no-go report.","'real Codex task closure and verification; the shared identity/evidence matrix plus protocol-specific continuation, compaction, cancellation and foreign-lineage tests; restricted and unsupported cases rejected before dispatch.'","Proposed; spike packet 'prepared' in W0, not executed.","register/reports/waves/w8a-state-transport-spike.md; register/reports/research/adrl-roadmap-plan-2026-09-07.json (early_parallel_work W8A)","planned","Packet exists with five questions; no answers, no corpus, no report. Lab A.1 confirmed the Responses cell is 'unsupported'.","All, including the spike itself.","W0 spike; W3/W5 contracts; W6 controls.","Defer entirely until P2; the spike was scheduled 'during W0' and its absence has cost nothing so far, which suggests it was not on the critical path."
"W8B","wave","Release a supported local product: versioned package, pinned dependencies, generated API contracts, adapter kit, timeline/explanation UX, operations pilot (two weeks, 100 eligible attempts), restart/rotation/upgrade qualification.","'reproducible package and install/upgrade/rollback results; measured setup usability and service SLOs; no open release blockers in admitted slices; completed pilot report with attempts/exclusions; compatibility and support policy; minuted release decision.' No stable label while the two-harness/two-protocol gate is unmet.","Proposed.","register/reports/adrl-implementation-roadmap-2026-09-07.md#w8b","planned","No package, no installer, API remains 'adrl-api-v1-preview.4' (execution state current_build_checks).","All; DQ4 (product release vs routing graduation) disposition.","W3-W6, W8A, W7 disposition.","Correctly late. The 2-week/100-attempt pilot floor is duplicated in product roadmap P3; keep one owner."
"W9","wave","Let learned routing earn authority: decision-time feature snapshots, as-of projections, admitted origin/quality combinations, abstention before estimator, opportunity gate, calibration, drift, artifact manifest.","'the pre-build opportunity gate passes; admissible training/evaluation sets are audited; a fresh report beats the declared baselines at acceptable quality; calibrated abstention and rollback work.' 300-label figure 'is not an automatic pass'.","Proposed ('4-8 weeks after suitable data exists').","register/reports/adrl-implementation-roadmap-2026-09-07.md#w9","planned","Estimator, abstention, artifacts, dataset modules exist in runtime src/adrl/learning but are unwired and untrained; zero admitted labels; features-v2 rows rejected by learning-contract-v1.","All.","W4/W6/W7; DQ1; LRN-004 amendment; RTG-007 pre-build gate.","Keep behind W7 outcome data. The blueprint anchors the whole product on RTG-007, which journey entry 002 lists as one of three ADRs with no implementing module."
"W10","wave","Automate bounded improvement proposals: offline proposer reads minimal failure packet, produces versioned hypothesis/patch/evaluation plan; isolated execution with limits; reviewer comparison.","'at least one end-to-end proposer run with independent assessment; deliberate rejection of a malicious/invalid proposal; budget exhaustion and interruption recovery; a human-reviewed useful candidate or a documented no-improvement outcome; complete lineage and ADR disposition.'","Proposed.","register/reports/adrl-implementation-roadmap-2026-09-07.md#w10","planned","Only the manual verifier-comparison runner exists (improve CLI). No proposer.","All.","W4, W8B, separate evaluation access.","Correctly late; duplicated as P6 and blueprint milestone 5."
"W11","wave","Expand to teams and additional harnesses: organization identity, tenant boundaries, key custody, multi-worker consistency, further harnesses via the kit.","'adversarial tenant isolation and credential revocation tests; concurrent restriction propagation; failover without weakened policy; measured SLOs; tested erasure after backup restoration; operator runbooks and a constrained team pilot.'","Proposed.","register/reports/adrl-implementation-roadmap-2026-09-07.md#w11","planned","Runtime is single-process, single-user by contract (OPS-001). The context-graph proposal and investment brief describe fleet/laptop distribution of signed policy packages as 'a planned deployment application', not code.","All; DQ8.","W8B plus demonstrated team demand.","Correctly conditional. The 'laptop plus offline learner plus distributed packages' architecture in the brief should be labelled W11-scope so leaders do not read it as the current product."
"W12","wave","Test the recursive element: compare current improvement method with a candidate proposer/summarizer/selector at equal budget on fresh task families.","'a predeclared comparison supports or rejects the narrower hypothesis that the candidate improvement method is better. Only independently accepted, durable gains count.'","Proposed; 'conditional research tranche'.","register/reports/adrl-implementation-roadmap-2026-09-07.md#w12","planned","Nothing exists to compare.","All.","W10 plus accumulated independently assessed outcomes.","Fine as conditional; its content is repeated in P7, blueprint milestone 6 and lab plan section 9."
"W0-baseline","slice","Engineering-check runner, source backup, documentation reconciliation, ADR module map, maturity inventory (journey entry 002).","All eleven checks recorded; failure/timeout/drift cannot pass; every module cites an ADR; W3 packet frozen.","validated (2026-09-07)","register/reports/research/adrl-w0-baseline-2026-09-07.json; register/reports/research/adrl-w0-baseline-2026-09-07.patch","offline-tested","556 tests, 11 checks, 280 inputs, 74/77 ADRs mapped (EVL-001, EVL-008, RTG-007 unmapped). Self-reviewed only.","Reviewer assignment.","None.","Enables everything after; appropriate size (one day)."
"W3.1","slice","Encrypted operator capture retained through an internal API; A remains A after workspace becomes B; idempotent retries (entry 003).","Frozen cases: retain A/change to B; edit during copy; symlink/traversal; two attempts; duplicate; wrong/erased session; restart; corruption; erase.","validated","register/reports/research/adrl-w3-1-operator-captures-2026-09-08.json; register/reports/adrl-w3-1-operator-captures-2026-09-08.md","offline-tested","593 tests, 36 new capture cases, synthetic data only; 'exact completion-time attribution ... separate'. Admits leased plaintext cannot be withdrawn and process kill can leave temp copies.","Exact-close attribution; verifier binding; real task capture.","W0-baseline.","Good, minimal and on the P1/P2 path. This plus a manual quiesce would already support a bounded real comparison."
"W3.2a","slice","Encrypted attempt journal: initial manifest, reserved attempt/capture IDs, close/cancel/interrupt events, one active attempt per workspace (entry 004).","Concurrent starts, conflicts, ordering, pending restart, erasure, corruption, lost acks, quotas.","validated","register/reports/research/adrl-w3-2a-attempt-journal-2026-09-08.json","offline-tested","631 tests, 37 new cases; 'records intent; it does not supervise processes or associate a retained capture with the close request'.","Close/capture association; supervisor.","W3.1.","On path, but from here the chain diverges into process ownership rather than close/capture association."
"W3.2b1","slice","Owned process-group runner for one bounded synthetic command; launcher owns group, watchdog, minimal environment (entry 005).","Exit/lingering/detached children, timeout, stop, cancellation, owner death, changed executable pins.","validated","register/reports/research/adrl-w3-2b1-process-ownership-2026-09-08.json","offline-tested","669 tests, 38 new cases; a detached child 'survives and performs its bounded write' (observed limitation). Not connected to journal, capture or verifier.","Complete writer containment; connection to journal/capture.","W3.2a.","First slice that is not required by the W3 contract's exit cases; it addresses a hostile-writer boundary the W3 packet explicitly put 'outside the initial boundary'."
"W3.2b2a","slice","Versioned terminal-capacity reservation so an interrupted attempt can always record its terminal event (entry 006).","Quota/event-slot boundaries, all terminal reasons, concurrent admission, restart, erasure, schema-8 compatibility.","validated","register/reports/research/adrl-w3-2b2a-terminal-capacity-2026-09-08.json","offline-tested","697 tests, 28 new cases; four fixture failures repaired. 'Attribution is still unestablished'.","Same as W3.","W3.2a.","Defensible hardening but not on the critical path to a first real task record."
"W3.2b2b1","slice","Key-revocation marker persisted before key-file mutation so a restored wrapped key cannot resurrect access (entry 007; found while preparing b2b2).","Audit/removal/marker failure, restart, real process death, restored keys, contention, unsafe files.","validated","register/reports/research/adrl-w3-2b2b1-key-revocation-2026-09-08.json","offline-tested","724 tests, 26 new cases plus pre-change failure probe retained. Genuine defect found and fixed. Cannot withdraw cached keys/plaintext; not independently security-reviewed.","Independent security review.","W3.2b2a.","Legitimate correction of a found defect; the kind of course correction the program should show leaders."
"W3.2b2b2","slice","Coordinate readable v2 attempt, terminal grant and owned runner; durable workspace block before launch; monitor requests cleanup on revocation/expiry (entry 008).","35 coordination cases including real synthetic owner-process death; blocked erasure-audit fixture.","validated","register/reports/research/adrl-w3-2b2b2-process-coordination-2026-09-08.json","offline-tested","759 tests; three diagnostic runs with failures before pass; 'every admitted workspace stays blocked... There is no release API'.","Release API; writer boundary.","W3.2b1, W3.2b2b1.","Adds a permanent workspace fence with no release path; a real task workflow cannot use this yet."
"W3.2b2c","slice","Research probe: can a Docker container be a complete writer boundary? Six bounded observations with a self-authored static fixture (entry 009).","Negative controls: detached child inside container; client death; host file mode/rename.","research_validated; disposition 'isolated_backend_candidate_advance_to_resource_ownership'","register/reports/research/adrl-w3-2b2c-writer-boundary-2026-09-08.json; register/reports/research/writer-boundary-2026-09-08/","offline-tested","Six observations on macOS Docker 27.3.1; runtime unchanged. Finding: Docker client death leaves the container alive; an already-open writer survives host mode change. Recommends an 'optional isolated backend', 'not a mandatory Docker dependency'.","Full-ID/engine matching, daemon loss, safe output capture, plaintext erasure, real-harness image/network/credential/retention.","W3.2b2b2.","This is where W3 turned into an execution-backend project. The recommendation was optional; the next four slices treated it as the path."
"W3.2b2d1","slice","Stopped-container ownership primitive: create stopped, bind exact ID to attempt/engine/config, recover after reopen, remove without force (entry 010).","49 unit cases plus four opt-in engine cases; eight fixtures created and confirmed absent.","validated","register/reports/research/adrl-w3-2b2d1-stopped-resource-ownership-2026-09-08.json","offline-tested","812 tests, 306 inputs; no start/exec/kill/capture operations.","Launch/stop/capture.","W3.2b2c.","Infrastructure for the optional backend; not on the P1/P2 critical path."
"W3.2b2d2","slice","One-shot isolated launch/stop/recovery on the pinned synthetic engine: four sub-records (launch contract run failed on OomKillDisable mismatch; identity comparison; isolated launch prototype with one lost create reply; execution transport v2 with separate client budgets) (entries 011-014).","Six lifecycle cases; original create receipts equal exact absence confirmations; no operator cleanup exception; all fixtures and image removed.","validated_pinned_synthetic_engine; scope 'Internal pinned synthetic one-shot launch/stop/recovery only; full B2/B3/W3 and ADR grades unchanged'","register/reports/research/adrl-w3-2b2d2-launch-contract-2026-09-08.json; register/reports/research/adrl-w3-execution-identity-2026-09-08.json; register/reports/research/adrl-w3-isolated-launch-2026-09-08.json; register/reports/research/adrl-w3-transport-receipts-2026-09-08.json (create_issued 13, exact_absence_confirmations 13, final_tests 895, independent_review false)","offline-tested","Two failed engine runs (0/6 cases) then repaired; 101 offline research cases; final engine run 13/13 receipts, 8 synthetic starts, 895 tests zero skips. 'Historical missing-create cause remains unknown'. Fixture is a self-authored static binary; 'Fixture lifetime is specific to the pinned synthetic executable'.","Active-copy custody; safe extraction; exact stop/capture association; verifier/CLI; real harness image/network/credential/retention; independent review.","W3.2b2d1.","Four slices, two failed engine allowances and roughly half of the two-day effort went into launching a synthetic binary in Docker. This should be reclassified as a W6/SAF-007 research spike and closed; W3's exit does not need it."
"W3.2b2e","slice","Active-copy custody: map decrypted/materialized copies, custodians, lifetimes and cleanup; reproduce a bounded fault; freeze the smallest lease/custody contract before code.","Copy/custodian table; counterexample; contract covering owner death, erasure during materialization, quota, unsafe paths.","deferred, 'unfinished; resume for qualified exact-output evidence' (deferred 2026-09-08T06:29Z)","register/reports/waves/w3-active-copy-custody.md","planned","Packet only.","All.","W3.2b2d2.","Necessary before real payload capture, but a table-plus-contract deliverable; should be scoped to the operator-capture path only, not the container backend."
"W7.0-diagnostic","slice","Offline routing demonstration: 24 prompts x 5 conditions x 2 repeats through unchanged Router/CascadeController/rule-health; two cascade demos; rule-health demotion with 20 invented outcomes (entry 015).","Invariant checks (permitted set, repetition) and review hypotheses recorded before the run.","offline_diagnostic_complete_with_findings; disposition 'correct_mixed_intent_routing_before_further_infrastructure_progress'","register/reports/research/routing-demonstration-2026-09-08/results.json (decision_evaluations 240, ordinary counts local 9/cheap 0/frontier 15, two review_hypothesis_failed); register/reports/adrl-routing-in-action-2026-09-08.md","offline-tested","Verified in results.json: 240 evaluations, zero model calls, two failed hypotheses (rename-redesign, explain-implement), rule-health precision 0.6 demoted clear-local, driver invoked refresh explicitly. Gates injected, not tested.","Nothing for this slice; it is a diagnostic.","None (unchanged runtime).","Highest value-per-hour item of the two days; it changed the sequence. Should have been the first thing done on 2026-09-07."
